#
# WHOIS Servers List
# Last updated on 21/06/2019
#

express whois.donuts.co
extraspace whois.nic.extraspace
fage whois.nic.fage
fail whois.donuts.co
fail whois.donuts.co
fairwinds whois.nic.fairwinds
faith whois.nic.faith
faith whois.nic.faith
family whois.donuts.co
family whois.donuts.co
fan whois.nic.fan
fans whois.nic.fans
fans whois.nic.fans
farm whois.donuts.co
farm whois.donuts.co
farmers whois.nic.farmers
fashion whois-dub.mm-registry.com
fashion whois.nic.fashion
fast whois.nic.fast
fedex whois.nic.fedex
feedback whois.centralnic.com
feedback whois.nic.feedback
ferrari whois.nic.ferrari
ferrero whois.nic.ferrero
fi whois.fi
fi whois.fi
fiat whois.nic.fiat
fidelity whois.nic.fidelity
fido whois.nic.fido
film whois.nic.film
film whois.nic.film
fin.ec whois.lac.net
final whois.nic.final
finance whois.donuts.co
finance whois.donuts.co
financial whois.donuts.co
financial whois.donuts.co
fire whois.nic.fire
firestone whois.nic.firestone
firm.ro whois.rotld.ro
firmdale whois.nic.firmdale
fish whois.donuts.co
fish whois.donuts.co
fishing whois-dub.mm-registry.com
fishing whois-dub.mm-registry.com
fit whois.nic.fit
fit whois-dub.mm-registry.com
fitness whois.donuts.co
fitness whois.donuts.co
flickr whois.nic.flickr
flights whois.donuts.co
flights whois.donuts.co
flir whois.nic.flir
florist whois.donuts.co
florist whois.donuts.co
flowers whois.nic.flowers
flowers whois.uniregistry.net
flsmidth whois.ksregistry.net
fly domain-registry-whois.l.google.com
fm whois.nic.fm
fm.br whois.nic.br
fo whois.nic.fo
fo whois.nic.fo
foo domain-registry-whois.l.google.com
food whois.nic.food
foodnetwork whois.nic.foodnetwork
football whois.donuts.co
football whois.donuts.co
ford whois.nic.ford
forex whois.nic.forex
forsale whois.unitedtld.com
forsale whois.donuts.co
forum whois.nic.forum
fot.br whois.nic.br
foundation whois.donuts.co
foundation whois.donuts.co
fox whois.nic.fox
fr whois.nic.fr
fr whois.nic.fr
free whois.nic.free
fresenius whois.nic.fresenius
frl whois.nic.frl
frogans whois-frogans.nic.fr
frontdoor whois.nic.frontdoor
frontier whois.nic.frontier
fst.br whois.nic.br
ftr whois.nic.ftr
fujitsu whois.nic.fujitsu
fujixerox whois.nic.fujixerox
fun whois.donuts.co
fun whois.donuts.co
fund whois.donuts.co
furniture whois.donuts.co
furniture whois.donuts.co
futbol whois.unitedtld.com
futbol whois.unitedtld.com
fyi whois.donuts.co
fyi whois.donuts.co
g12.br whois.nic.br
gal whois.gal.coreregistry.net
gallery whois.donuts.co
gallery whois.donuts.co
gallo whois.nic.gallo
gallup whois.nic.gallup
game whois.nic.game
game whois.nic.game
games whois.donuts.co
games whois.donuts.co
gap whois.nic.gap
garden whois-dub.mm-registry.com
garden whois.nic.garden
gb whois.ripe.net
gb.com whois.centralnic.com
gb.net whois.centralnic.com
gb.net whois.centralnic.com
gbiz domain-registry-whois.l.google.com
gd whois.nic.gd
gd whois.nic.gd
gd.cn whois.cnnic.net.cn
gdn whois.gdnregistry.com
gdn whois.nic.gdn
ge whois.ripe.net
gea whois.nic.gea
geek.nz whois.srs.net.nz
gen.nz whois.srs.net.nz
gent whois.nic.gent
genting whois.nic.genting
george whois.nic.george
gf whois.nplus.gf
gg whois.gg
gg whois.gg
ggee whois.nic.ggee
gi whois2.afilias-grs.net
gi whois2.afilias-grs.net
gift whois.uniregistry.net
gift whois.uniregistry.net
gifts whois.donuts.co
gifts whois.donuts.co
gives whois.donuts.co
gives whois.rightside.co
giving whois.nic.giving
gl whois.nic.gl
gl whois.nic.gl
glade whois.nic.glade
glass whois.donuts.co
glass whois.donuts.co
gle domain-registry-whois.l.google.com
global whois.nic.global
global whois.nic.global
globo whois.gtlds.nic.br
gm whois.ripe.net
gmail domain-registry-whois.l.google.com
gmbh whois.donuts.co
gmbh whois.donuts.co
gmina.pl whois.dns.pl
gmo whois.nic.gmo
gmx whois-fe1.gmx.tango.knipp.de
go.id whois.idnic.net.id
go.jp whois.nic.ad.jp
go.kr whois.nic.or.kr
go.th whois.thnic.net
gob.gt http://www.gt/cgi-bin/whois.cgi?domain=
gob.mx whois.nic.mx
godaddy whois.nic.godaddy
gold whois.donuts.co
gold whois.donuts.co
goldpoint whois.nic.goldpoint
golf whois.donuts.co
golf whois.donuts.co
goo whois.nic.gmo
goodyear whois.nic.goodyear
goog domain-registry-whois.l.google.com
google domain-registry-whois.l.google.com
gop whois-cl01.mm-registry.com
gop whois-cl01.mm-registry.com
got whois.nic.got
gov whois.nic.gov
gov whois.dotgov.gov
gov.br whois.nic.br
gov.cn whois.cnnic.net.cn
gov.ec whois.lac.net
gov.gr http://grwhois.ics.forth.gr:800/plainwhois/plainWhois?domainName=
gov.il whois.isoc.org.il
gov.in whois.inregistry.in
gov.mm whois.nic.mm
gov.mx whois.nic.mx
gov.my whois.mynic.net.my
gov.sg whois.nic.net.sg
gov.tr whois.metu.edu.tr
gov.uk whois.ja.net
gov.za whois.co.za
gq whois.dominio.gq
gr whois.ripe.net
grainger whois.nic.grainger
graphics whois.donuts.co
graphics whois.donuts.co
gratis whois.donuts.co
gratis whois.donuts.co
green whois.afilias.net
green whois.nic.green
gripe whois.donuts.co
gripe whois.donuts.co
grocery whois.donuts.co
gs whois.nic.gs
gs whois.nic.gs
gs.cn whois.cnnic.net.cn
gsm.pl whois.dns.pl
guardian whois.nic.guardian
gucci whois.nic.gucci
guge whois.nic.guge
guide whois.donuts.co
guide whois.donuts.co
guitars whois.uniregistry.net
guitars whois.uniregistry.net
guru whois.donuts.co
guru whois.donuts.co
gv.ac whois.nic.ac
gv.at whois.nic.at
gx.cn whois.cnnic.net.cn
gy whois.registry.gy
gy whois.registry.gy
gz.cn whois.cnnic.net.cn
hair whois.nic.hair
hamburg whois.nic.hamburg
hamburg whois.nic.hamburg
hangout domain-registry-whois.l.google.com
haus whois.unitedtld.com
haus whois.unitedtld.com
hb.cn whois.cnnic.net.cn
hbo whois.nic.hbo
hdfc whois.nic.hdfc
hdfcbank whois.nic.hdfcbank
he.cn whois.cnnic.net.cn
health whois.nic.health
health whois.nic.health
healthcare whois.donuts.co
healthcare whois.donuts.co
help whois.nic.help
help whois.uniregistry.net
helsinki whois.nic.helsinki
here domain-registry-whois.l.google.com
hermes whois.nic.hermes
hgtv whois.nic.hgtv
hi.cn whois.cnnic.net.cn
hiphop whois.uniregistry.net
hiphop whois.nic.hiphop
hisamitsu whois.nic.hisamitsu
hitachi whois.nic.hitachi
hiv whois.afilias-srs.net
hk whois.hknic.net.hk
hk whois.hkirc.hk
hk.cn whois.cnnic.net.cn
hkt whois.nic.hkt
hl.cn whois.cnnic.net.cn
hm whois.registry.hm
hm whois.registry.hm
hn whois.nic.hn
hn whois2.afilias-grs.net
hn.cn whois.cnnic.net.cn
hockey whois.donuts.co
hockey whois.donuts.co
holdings whois.donuts.co
holdings whois.donuts.co
holiday whois.donuts.co
holiday whois.donuts.co
homedepot whois.nic.homedepot
homegoods whois.nic.homegoods
homes whois.nic.homes
homesense whois.nic.homesense
honda whois.nic.honda
honeywell whois.nic.honeywell
horse whois-dub.mm-registry.com
horse whois-dub.mm-registry.com
hospital whois.donuts.co
host whois.nic.host
host whois.nic.host
hosting whois.uniregistry.net
hosting whois.nic.hosting
hot whois.nic.hot
hoteles whois.nic.hoteles
hotels whois.nic.hotels
hotmail whois.nic.hotmail
house whois.donuts.co
house whois.donuts.co
how domain-registry-whois.l.google.com
how whois.nic.how
hr whois.dns.hr
hr whois.dns.hr
hsbc whois.nic.hsbc
ht whois.nic.ht
ht whois.nic.ht
https://whois.nic.sport whois.nic.spreadbetting
hu whois.nic.hu
hu whois.nic.hu
hu.com whois.centralnic.com
hughes whois.nic.hughes
hyatt whois.nic.hyatt
hyundai whois.nic.hyundai
ibm whois.nic.ibm
icbc whois.nic.icbc
ice whois.nic.ice
icu whois.nic.icu
icu whois.nic.icu
id whois.pandi.or.id
id whois.pandi.or.id
id.au whois.aunic.net
ie whois.domainregistry.ie
ie whois.domainregistry.ie
ieee whois.nic.ieee
ifm whois.nic.ifm
ikano whois.nic.ikano
il whois.isoc.org.il
il whois.isoc.org.il
im whois.nic.im
im whois.nic.im
imamat whois.nic.imamat
imdb whois.nic.imdb
immo whois.donuts.co
immo whois.donuts.co
immobilien whois.unitedtld.com
immobilien whois.unitedtld.com
in whois.inregistry.net
in whois.inregistry.net
in.rs whois.rnids.rs
in.th whois.thnic.net
inc whois.nic.inc
ind.br whois.nic.br
ind.gt http://www.gt/cgi-bin/whois.cgi?domain=
industries whois.donuts.co
industries whois.donuts.co
inf.br whois.nic.br
infiniti whois.nic.gmo
info whois.afilias.net
info whois.afilias.info
info.pl whois.dns.pl
info.ro whois.rotld.ro
info.ve whois.nic.ve
ing domain-registry-whois.l.google.com
ink whois.centralnic.com
ink whois.nic.ink
institute whois.donuts.co
institute whois.donuts.co
insurance whois.nic.insurance
insure whois.donuts.co
insure whois.donuts.co
int whois.iana.org
int whois.isi.edu
intel whois.nic.intel
international whois.donuts.co
international whois.donuts.co
intuit whois.nic.intuit
investments whois.donuts.co
investments whois.donuts.co
io whois.nic.io
io whois.nic.io
ipiranga whois.nic.ipiranga
iq whois.cmc.iq
iq whois.cmc.iq
ir whois.nic.ir
ir whois.nic.ir
irish whois.donuts.co
irish whois.donuts.co
is whois.isnic.is
is whois.isnic.is
iselect whois.nic.iselect
ismaili whois.nic.ismaili
ist whois.nic.ist
istanbul whois.nic.istanbul
it whois.nic.it
it whois.nic.it
itau whois.nic.itau
itv whois.nic.itv
iveco whois.nic.iveco
iwi.nz whois.srs.net.nz
jaguar whois.nic.jaguar
java whois.nic.java
jcb whois.nic.gmo
jcp whois.nic.jcp
je whois.je
je whois.je
jeep whois.nic.jeep
jetzt whois.donuts.co
jewelry whois.donuts.co
jewelry whois.donuts.co
jio whois.nic.jio
jl.cn whois.cnnic.net.cn
jll whois.nic.jll
jmp whois.nic.jmp
jnj whois.nic.jnj
jobs jobswhois.verisign-grs.com
jobs jobswhois.verisign-grs.com
joburg joburg-whois.registry.net.za
